item,price,region,like,chat,image
명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,11,35,images/best/bestimg24.jpg
마이크로 킥보드 맥시,"50,000원",경기도 성남시 분당구 정자동,5,20,images/best/bestimg25.jpg
제습기,"55,000원",제주 서귀포시 동홍동,5,18,images/best/bestimg26.jpg
이케아 트롤리 철제카트,"10,000원",세종시  고운동,5,15,images/best/bestimg27.jpg
크록스 새제품팝니다,"28,000원",부산 기장군 정관읍,14,39,images/best/bestimg28.jpg
갤럭시워치5,"110,000원",경기도 평택시 비전동,8,17,images/best/bestimg29.jpg
위닉스 제습기,"120,000원",경기도 부천시 중동,14,29,images/best/bestimg30.jpg
SEDEC 식탁세트판매,"300,000원",경기도 성남시 분당구 정자동,56,26,images/best/bestimg31.jpg
가게 정리합니다,"1,000원",울산 울주군 범서읍,4,1,images/best/bestimg32.jpg
"이민 및 이사 정리 (책상, 침대, 식탁, 소파, 식기세척기, 공기청정기, 매거진랙, 티비다이, 의자 등)","100,000원",서울 동대문구 휘경제1동,30,24,images/best/bestimg33.jpg
디올 나노백,110만원,경남 김해시 장유3동,20,20,images/best/bestimg34.jpg
쿠쿠 제습기,"50,000원",충남 천안시 서북구 쌍용2동,3,18,images/best/bestimg35.jpg
코렐12피스 새상품,"10,000원",경기도 화성시 남양읍,8,7,images/best/bestimg36.jpg
삼성65인치 티비,"100,000원",경기도 용인시 수지구 풍덕천2동,13,11,images/best/bestimg37.jpg
다이슨 선풍기,"60,000원",경남 창원시 성산구 신촌동,8,14,images/best/bestimg38.jpg
보쉬 전동드릴,"50,000원",서울 양천구 목1동,16,12,images/best/bestimg39.jpg
다이슨. 드라이기,"150,000원",서울 동대문구 장안동,13,13,images/best/bestimg40.jpg
아몬드 키즈 풀빌라 양산 통도사점 숙박,"200,000원",경남 양산시 하북면,50,47,images/best/bestimg41.jpg
캣타워,"10,000원",대구 남구 대명동,13,14,images/best/bestimg42.jpg
전동 자전거 판매,"50,000원",경기도 화성시 장지동,11,4,images/best/bestimg43.jpg
엘지제습기,"150,000원",광주 북구 본촌동,9,11,images/best/bestimg44.jpg
냉장고,"70,000원",광주 북구 오치동,10,12,images/best/bestimg45.jpg
아임삭 드릴,"70,000원",충남 아산시 배방읍,16,8,images/best/bestimg46.jpg
홍천잣 팔아요!~~,"1,000원",강원도 원주시 단계동,8,17,images/best/bestimg47.jpg
차량용 냉장고,"5,000원",경기도 남양주시 진접읍,7,14,images/best/bestimg48.jpg
에어팟 5만원,"50,000원",경기도 화성시 봉담읍,26,41,images/best/bestimg49.jpg
가마솥 팝니다,"30,000원",경기도 광주시 장지동,9,8,images/best/bestimg50.jpg
위닉스 제습기,"5,000원",경기도 김포시 양촌읍,5,7,images/best/bestimg51.jpg
아이폰 14 256기가 블루 급처 배터리 100%,"500,000원",경기도 화성시 새솔동,12,25,images/best/bestimg52.jpg
급해요 ㅜㅜㅜ,1원,서울 노원구 상계10동,2,3,images/best/bestimg53.jpg
제습기 팝니다,"30,000원",서울 은평구 구산동,9,11,images/best/bestimg54.jpg
매장정리합니다.,"1,000원","인천 연수구 송도동 월드마크 1,2 단지",14,4,images/best/bestimg55.jpg
위닉스 제습기 판매,"80,000원",충북 충주시 용산동,6,16,images/best/bestimg56.jpg
위닉스제습기16L,"30,000원",경남 창원시 의창구 도계동,3,9,images/best/bestimg57.jpg
위니아제습기8L,"80,000원",제주 서귀포시 상효동,3,14,images/best/bestimg58.jpg
선풍기,"5,000원",광주 광산구 첨단1동,24,48,images/best/bestimg59.jpg
루이비통 팔찌 남자,"110,000원",대전 서구 둔산2동,13,24,images/best/bestimg60.jpg
써큐레이터,"10,000원",서울 도봉구 쌍문제1동,44,30,images/best/bestimg61.jpg
"이사가면서 가전정리합니다(세탁기,장농 밥솥장 건조기)","30,000원",부산 수영구 망미제2동,16,23,images/best/bestimg62.jpg
선풍기,"10,000원",제주 제주시 오라삼동,25,47,images/best/bestimg63.jpg
저진짜 돈이 급합니다 ㅠㅠ(세트형 구매),"440,000원",대구 북구 국우동,4,8,images/best/bestimg64.jpg
명품패딩 싸게 처분합니다,"300,000원",세종시  도담동,5,19,images/best/bestimg65.jpg
에어팟 프로,나눔🧡,경남 양산시 남부동,23,115,images/best/bestimg66.jpg
미스비시예초기,"50,000원",제주 제주시 애월읍,5,6,images/best/bestimg67.jpg
무료로드려요,나눔🧡,경기도 수원시 영통구 매탄동,1,33,images/best/bestimg68.jpg
코스트코 창고,"300,000원",경기도 광주시 오포읍,43,9,images/best/bestimg69.jpg
컴퓨터 모니터 엘지전자 27인치,"90,000원",서울 송파구 문정동,31,24,images/best/bestimg70.jpg
이사가는데 물품 정리 합니다,"1,000원",대전 서구 둔산동,16,62,images/best/bestimg71.jpg
알피쿨45,"50,000원",경남 창원시 성산구 가음정동,9,8,images/best/bestimg72.jpg
스토케 트립트랩 하이체어,"160,000원",서울 동대문구 용두동,5,14,images/best/bestimg73.jpg
아이폰 12 선입금 10만원 받고 잠수탔네요,,경기도 고양시 덕양구 행신동,7,17,images/best/bestimg74.jpg
75인치 저가형 tv,"150,000원",경남 창원시 마산합포구 월영동,17,2,images/best/bestimg75.jpg
보아르 제습기,"50,000원",부산 부산진구 범천동,8,12,images/best/bestimg76.jpg
마샬 스피커,"100,000원",서울 은평구 응암동,15,11,images/best/bestimg77.jpg
냉장고,"100,000원",경북 구미시 남통동,4,12,images/best/bestimg78.jpg
카페정리합니다,"12,345원",서울 관악구 보라매동,17,15,images/best/bestimg79.jpg
b267sm LG 냉장고,"100,000원",서울 강남구 대치4동,13,22,images/best/bestimg80.jpg
코웨이 제습기 급처9만^^,"90,000원",인천 남동구 논현2동,10,11,images/best/bestimg81.jpg
에어팟맥스 해외제품 판매합니다,"150,000원",서울 용산구 신계동,38,54,images/best/bestimg82.jpg
셀린느 가방,"200,000원",서울 송파구 가락동,15,8,images/best/bestimg83.jpg
월광보합 2900,"40,000원",인천 부평구 청천동,10,11,images/best/bestimg84.jpg
아이폰 se3 화이트,"250,000원",서울 관악구 봉천동,12,15,images/best/bestimg85.jpg
신세계 상품권 10만원권,"80,000원",경기도 시흥시 거모동,12,37,images/best/bestimg86.jpg
추피의 생활이야기. 70권,"90,000원",경남 김해시 장유3동,9,18,images/best/bestimg87.jpg
냉장고 팝니다!,"70,000원",울산 북구 화봉동,6,9,images/best/bestimg88.jpg
위닉스 제습기.,"30,000원",경기도 시흥시 능곡동,3,10,images/best/bestimg89.jpg
선반,"10,000원",경남 거제시 옥포동,6,7,images/best/bestimg90.jpg
장우산 재고 처분합니다,"4,000원",경기도 파주시 동패동,96,28,images/best/bestimg91.jpg
LG공기청정기,"70,000원",경남 김해시 주촌면,12,13,images/best/bestimg92.jpg
신세계 상품권 30만원 판매 합니다,"270,000원",인천 부평구 청천1동,2,16,images/best/bestimg93.jpg
베트남 동 판매합니다,"197,000원",부산 남구 대연제3동,9,13,images/best/bestimg94.jpg
가져가주세요ㅠㅠ,"5,000원",부산 서구 암남동,12,7,images/best/bestimg95.jpg
